Course Allocation ID,Course Name,University Name,School Name,Enrollment Count,Term Name,End Status,Starting Stage,Next Stage After Start Stage,Date of Change,Admissions Drop Date
a0QPm00000TlIwuMAF,Course45,University24,School67,15,Spring 2026,Active,Offered,Accepted,2025-02-25,
a0QPm00000TlrUoMAJ,Course51,University1,School199,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-25,2025-03-28
a0QPm00000Tlvi5MAB,Course60,University1,School233,3,Spring 2026,Dropped,Offered,Accepted,2025-02-25,
a0QPm00000ToodfMAB,Course80,University10,School385,13,Spring 2026,Active,Offered,Accepted,2025-02-25,
a0QPm00000Torq2MAB,Course80,University10,School406,18,Spring 2026,Active,Offered,Accepted,2025-02-25,
a0QPm00000Tow3OMAR,Course45,University24,School321,17,Spring 2026,Active,Offered,Accepted,2025-02-25,
a0QPm00000TpC3FMAV,Course80,University10,School384,12,Spring 2026,Active,Offered,Accepted,2025-02-25,
a0QPm00000Tqc2CMAR,Course70,University1,School374,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-25,2025-11-21
a0QPm00000TqqI0MAJ,Course4,University15,School391,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-25,2025-11-03
a0QPm00000TrDUgMAN,Course51,University1,School363,15,Spring 2026,Active,Offered,Accepted,2025-02-25,
a0QPm00000TrE8zMAF,Course4,University15,School374,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-25,2025-10-31
a0QPm00000TrEs9MAF,Course45,University24,School374,20,Spring 2026,Active,Offered,Accepted,2025-02-25,
a0QPm00000TrF1pMAF,Course3,University19,School374,27,Spring 2026,Active,Offered,Accepted,2025-02-25,
a0QPm00000TrUiPMAV,Course48,University21,School291,12,Spring 2026,Active,Offered,Accepted,2025-02-25,
a0QPm00000TjE9OMAV,Course16,University9,School483,14,Spring 2026,Active,Offered,Accepted,2025-02-26,
a0QPm00000TlNYOMA3,Course3,University19,School103,5,Spring 2026,Active,Offered,Accepted,2025-02-26,
a0QPm00000TmN1dMAF,Course45,University24,School595,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-26,2025-04-07
a0QPm00000TjjEoMAJ,Course65,University10,School245,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-27,2025-04-14
a0QPm00000TjQgnMAF,Course65,University10,School238,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-27,2025-04-10
a0QPm00000TjuyHMAR,Course4,University15,School503,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-28,2025-11-03
a0QPm00000U2gmhMAB,Course32,University7,School650,12,Spring 2026,Active,Offered,Accepted,2025-02-28,
a0QPm00000TqqugMAB,Course4,University15,School542,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-03,2025-11-03
a0QPm00000TqsutMAB,Course73,University15,School542,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-03,2025-11-03
a0QPm00000TrNc6MAF,Course48,University21,School542,16,Spring 2026,Active,Offered,Accepted,2025-03-03,
a0QPm00000TrWsHMAV,Course32,University7,School542,18,Spring 2026,Active,Offered,Accepted,2025-03-03,
a0QPm00000UOaNfMAL,Course82,University14,School500,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-04,2025-12-05
a0QPm00000UOnslMAD,Course13,University9,School252,25,Spring 2026,Active,Offered,Accepted,2025-03-04,
a0QPm00000UOwBGMA1,Course82,University14,School358,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-04,2026-01-16
a0QPm00000UP0oLMAT,Course19,University1,School341,25,Spring 2026,Active,Offered,Accepted,2025-03-04,
a0QPm00000UP6YoMAL,Course4,University15,School200,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-04,2025-11-03
a0QPm00000UPKbmMAH,Course4,University15,School529,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-04,2025-11-03
a0QPm00000UPNONMA5,Course48,University21,School510,11,Spring 2026,Active,Offered,Accepted,2025-03-04,
a0QPm00000UPOQtMAP,Course65,University10,School579,19,Spring 2026,Active,Offered,Accepted,2025-03-04,
a0QPm00000UPoTQMA1,Course35,University1,School202,15,Spring 2026,Active,Offered,Accepted,2025-03-04,
a0QPm00000UPSxWMAX,Course42,University2,School510,7,Spring 2026,Dropped,Offered,Accepted,2025-03-04,
a0QPm00000UPTYcMAP,Course33,University15,School510,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-04,2025-11-03
a0QPm00000UPY0PMAX,Course81,University23,School553,24,Spring 2026,Active,Offered,Accepted,2025-03-04,
a0QPm00000UQ9RNMA1,Course82,University14,School589,17,Spring 2026,Active,Offered,Accepted,2025-03-04,
a0QPm00000UQAbxMAH,Course47,University3,School202,20,Spring 2026,Active,Offered,Accepted,2025-03-04,
a0QPm00000UQATtMAP,Course32,University7,School202,18,Spring 2026,Active,Offered,Accepted,2025-03-04,
a0QPm00000UOn6MMAT,Course4,University15,School261,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-11-03
a0QPm00000UOoiMMAT,Course47,University3,School643,28,Spring 2026,Active,Offered,Accepted,2025-03-05,
