Course Allocation ID,Course Name,University Name,School Name,Enrollment Count,Term Name,End Status,Starting Stage,Next Stage After Start Stage,Date of Change,Admissions Drop Date,Start Date,Days_Before_Start,Allocation_Duration_Days
a0QPm00000TlrUoMAJ,Course51,University1,School199,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-25,2025-03-28,2026-02-02,311.0,31.0
a0QPm00000Tlvi5MAB,Course60,University1,School233,3,Spring 2026,Dropped,Offered,Accepted,2025-02-25,,2026-02-02,,
a0QPm00000Tqc2CMAR,Course70,University1,School374,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-25,2025-11-21,,,269.0
a0QPm00000TqqI0MAJ,Course4,University15,School391,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-25,2025-11-03,,,251.0
a0QPm00000TrE8zMAF,Course4,University15,School374,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-25,2025-10-31,,,248.0
a0QPm00000TmN1dMAF,Course45,University24,School595,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-26,2025-04-07,2026-02-02,301.0,40.0
a0QPm00000TjjEoMAJ,Course65,University10,School245,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-27,2025-04-14,2026-02-02,294.0,46.0
a0QPm00000TjQgnMAF,Course65,University10,School238,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-27,2025-04-10,2026-02-02,298.0,42.0
a0QPm00000TjuyHMAR,Course4,University15,School503,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-02-28,2025-11-03,,,248.0
a0QPm00000TqqugMAB,Course4,University15,School542,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-03,2025-11-03,,,245.0
a0QPm00000TqsutMAB,Course73,University15,School542,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-03,2025-11-03,,,245.0
a0QPm00000UOaNfMAL,Course82,University14,School500,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-04,2025-12-05,2026-02-02,59.0,276.0
a0QPm00000UOwBGMA1,Course82,University14,School358,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-04,2026-01-16,2026-02-02,17.0,318.0
a0QPm00000UP6YoMAL,Course4,University15,School200,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-04,2025-11-03,,,244.0
a0QPm00000UPKbmMAH,Course4,University15,School529,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-04,2025-11-03,,,244.0
a0QPm00000UPSxWMAX,Course42,University2,School510,7,Spring 2026,Dropped,Offered,Accepted,2025-03-04,,2026-02-02,,
a0QPm00000UPTYcMAP,Course33,University15,School510,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-04,2025-11-03,,,244.0
a0QPm00000UOn6MMAT,Course4,University15,School261,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-11-03,,,243.0
a0QPm00000UPCvxMAH,Course79,University9,School427,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-05-09,2026-02-02,269.0,65.0
a0QPm00000UPFKLMA5,Course70,University1,School425,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-10-09,,,218.0
a0QPm00000UPOM3MAP,Course4,University15,School145,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-11-03,,,243.0
a0QPm00000UQuzmMAD,Course45,University24,School552,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-06-30,2026-02-02,217.0,117.0
a0QPm00000UR70xMAD,Course4,University15,School147,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-11-03,,,243.0
a0QPm00000URB6CMAX,Course4,University15,School328,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-11-03,,,243.0
a0QPm00000UTHieMAH,Course73,University15,School66,0,Spring 2026,Admissions Drop,Offered,Accepted,2025-03-05,2025-11-03,,,243.0
